image_path,caption
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E006011_3584_512_NIR.jpg,"Satellite imagery, Low precision resolution, village, forest, farmland, a brown surface with some leaves on it,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH50E014003_512_512_NIR.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image of a large area with trees and water,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E005014_3584_2048_NIR_noise_4063.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a brown river with water flowing over it,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E011017_0_1536_NIR_noise_6101.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a large area of farmland,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E012017_512_2048_NIR_noise_3528.jpg,"Satellite imagery, Low precision resolution, river, farmland, road, forest, village, a satellite image shows a large area of farmland,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NI49E024017_3584_2048_NIR_noise_6988.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a river and city,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E001014_1536_2048_NIR_noise_3456.jpg,"Satellite imagery, Low precision resolution, village, forest, farmland, a satellite image shows the area of a mountain,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E003014_4608_1024_NIR.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image shows a river flowing through a field,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E006024_2048_2048_NIR_noise_1847.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image of a large area of land,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NI49E022015_0_2560_NIR_noise_3688.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image of a lake with water in it,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E006017_1024_512_NIR.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image of a river in the middle of a brown area,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NI49E022014_2048_1536_NIR_noise_801.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, forest, village, a satellite image shows a road in the middle of a forest,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NI49E022015_4608_3072_NIR.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a large area of land,  GF1 and GF3,  whu-opt-sar"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_NIR_all/NIR_1w4/NH49E006019_512_1024_NIR.jpg,"Satellite imagery, Low precision resolution, village, city, river, farmland, a satellite image of a road in the middle of a field,  GF1 and GF3,  whu-opt-sar"
