image_path,caption
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH50E013002_2560_1024_SAR.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a large area with lots of buildings,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NI49E022010_4608_2560_SAR_noise_5421.jpg,"Satellite imagery, Low precision resolution, village, forest, farmland, a brown and black background with some rocks,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E009012_0_1024_SAR.jpg,"Satellite imagery, Low precision resolution, village, forest, farmland, an aerial view of a river in the desert,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH50E009006_2560_2048_SAR_noise_2402.jpg,"Satellite imagery, Low precision resolution, river, farmland, road, forest, village, a satellite image of a large area with a river,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E005023_4608_512_SAR.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image shows a large area of land,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E008024_4608_0_SAR_noise_3494.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, village, a satellite image of a large area with a lot of buildings,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E010022_2048_1024_SAR_noise_2154.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a large area of farmland,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E008014_4608_2048_SAR_noise_153.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image shows a large area of land,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E006011_4096_1024_SAR_noise_2492.jpg,"Satellite imagery, Low precision resolution, village, forest, farmland, a brown and white surface with some brown lines,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH50E013002_4608_3072_SAR.jpg,"Satellite imagery, Low precision resolution, river, farmland, road, forest, village, a satellite image shows a large area of brown dirt,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E011011_4608_3072_SAR.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a close up of a dark brown surface,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E004021_2560_512_SAR_noise_6706.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image shows a large area of water,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E001014_512_1536_SAR_noise_2174.jpg,"Satellite imagery, Low precision resolution, village, forest, farmland, a satellite image shows a river in the middle of a forest,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E001014_3584_512_SAR.jpg,"Satellite imagery, Low precision resolution, village, forest, river, farmland, a satellite image of a large area of brown dirt,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E001017_4608_1536_SAR_noise_6807.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a river and a small town,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E001017_4096_512_SAR.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a city with lots of green grass,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH50E010001_0_3072_SAR_noise_5625.jpg,"Satellite imagery, Low precision resolution, village, road, river, farmland, a satellite image of a river and a city,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH50E009001_1536_2048_SAR_noise_324.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, forest, village, a satellite image shows a large area of land,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH49E008024_4096_1024_SAR_noise_2543.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, village, a satellite image of a city with a river and a road,  GF1 and GF3,  whu-opt-SAR"
/home/zwz/project/C2GM/GeoStrutOmni_all/MMM_RS_SAR_all/SAR_1w4/NH50E010004_2560_2560_SAR.jpg,"Satellite imagery, Low precision resolution, river, farmland, city, road, forest, village, a satellite image of a city with lots of buildings,  GF1 and GF3,  whu-opt-SAR"
